Iteración,Tamaño Vector,Procesadores,Resultado
3,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.145369 numprocesos: 4 tpar: 0.155839 seepUp: 0.932815 eficiencia: 23.320382%
4,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.144620 numprocesos: 4 tpar: 0.158902 seepUp: 0.910121 eficiencia: 22.753018%
5,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.130295 numprocesos: 4 tpar: 0.157469 seepUp: 0.827433 eficiencia: 20.685818%
6,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.155503 numprocesos: 4 tpar: 0.161132 seepUp: 0.965066 eficiencia: 24.126648%
7,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.162162 numprocesos: 4 tpar: 0.158066 seepUp: 1.025913 eficiencia: 25.647831%
8,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.144164 numprocesos: 4 tpar: 0.156517 seepUp: 0.921076 eficiencia: 23.026892%
9,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.164808 numprocesos: 4 tpar: 0.151115 seepUp: 1.090613 eficiencia: 27.265328%
10,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.155394 numprocesos: 4 tpar: 0.156540 seepUp: 0.992679 eficiencia: 24.816980%
11,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.164677 numprocesos: 4 tpar: 0.158095 seepUp: 1.041633 eficiencia: 26.040830%
12,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.154609 numprocesos: 4 tpar: 0.155159 seepUp: 0.996455 eficiencia: 24.911381%
13,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.130151 numprocesos: 4 tpar: 0.154359 seepUp: 0.843171 eficiencia: 21.079270%
14,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.129604 numprocesos: 4 tpar: 0.155234 seepUp: 0.834894 eficiencia: 20.872360%
15,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.129685 numprocesos: 4 tpar: 0.160430 seepUp: 0.808359 eficiencia: 20.208970%
16,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.144453 numprocesos: 4 tpar: 0.152270 seepUp: 0.948664 eficiencia: 23.716589%
17,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.170131 numprocesos: 4 tpar: 0.274945 seepUp: 0.618782 eficiencia: 15.469548%
18,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.250899 numprocesos: 4 tpar: 0.281887 seepUp: 0.890069 eficiencia: 22.251736%
19,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.193667 numprocesos: 4 tpar: 0.153832 seepUp: 1.258951 eficiencia: 31.473783%
20,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.144805 numprocesos: 4 tpar: 0.151032 seepUp: 0.958770 eficiencia: 23.969258%
21,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.142093 numprocesos: 4 tpar: 0.154433 seepUp: 0.920095 eficiencia: 23.002370%
22,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.173229 numprocesos: 4 tpar: 0.281464 seepUp: 0.615457 eficiencia: 15.386426%
23,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.250573 numprocesos: 4 tpar: 0.280450 seepUp: 0.893468 eficiencia: 22.336691%
24,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.249945 numprocesos: 4 tpar: 0.280578 seepUp: 0.890822 eficiencia: 22.270545%
25,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.254000 numprocesos: 4 tpar: 0.283400 seepUp: 0.896260 eficiencia: 22.406493%
26,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.247678 numprocesos: 4 tpar: 0.159245 seepUp: 1.555327 eficiencia: 38.883167%
27,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.154900 numprocesos: 4 tpar: 0.154680 seepUp: 1.001422 eficiencia: 25.035557%
28,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.155094 numprocesos: 4 tpar: 0.156031 seepUp: 0.993995 eficiencia: 24.849870%
29,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.165216 numprocesos: 4 tpar: 0.150506 seepUp: 1.097737 eficiencia: 27.443424%
30,10000,4,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.155296 numprocesos: 4 tpar: 0.152612 seepUp: 1.017587 eficiencia: 25.439677%
1,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.129574 numprocesos: 6 tpar: 0.104637 seepUp: 1.238319 eficiencia: 20.638652%
2,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.164447 numprocesos: 6 tpar: 0.104744 seepUp: 1.569990 eficiencia: 26.166495%
3,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.154399 numprocesos: 6 tpar: 0.105672 seepUp: 1.461116 eficiencia: 24.351925%
4,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.153034 numprocesos: 6 tpar: 0.105822 seepUp: 1.446145 eficiencia: 24.102424%
5,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.144775 numprocesos: 6 tpar: 0.103604 seepUp: 1.397388 eficiencia: 23.289802%
6,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.154695 numprocesos: 6 tpar: 0.103612 seepUp: 1.493022 eficiencia: 24.883701%
7,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.149965 numprocesos: 6 tpar: 0.105673 seepUp: 1.419142 eficiencia: 23.652368%
8,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.143170 numprocesos: 6 tpar: 0.103041 seepUp: 1.389447 eficiencia: 23.157449%
9,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.154884 numprocesos: 6 tpar: 0.104630 seepUp: 1.480302 eficiencia: 24.671700%
10,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.144796 numprocesos: 6 tpar: 0.103943 seepUp: 1.393033 eficiencia: 23.217212%
11,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.156098 numprocesos: 6 tpar: 0.105011 seepUp: 1.486492 eficiencia: 24.774865%
12,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.151389 numprocesos: 6 tpar: 0.106442 seepUp: 1.422268 eficiencia: 23.704459%
13,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.155768 numprocesos: 6 tpar: 0.104806 seepUp: 1.486251 eficiencia: 24.770846%
14,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.132351 numprocesos: 6 tpar: 0.102984 seepUp: 1.285161 eficiencia: 21.419347%
15,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.144048 numprocesos: 6 tpar: 0.105034 seepUp: 1.371442 eficiencia: 22.857360%
16,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.148523 numprocesos: 6 tpar: 0.105564 seepUp: 1.406947 eficiencia: 23.449124%
17,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.153630 numprocesos: 6 tpar: 0.103911 seepUp: 1.478477 eficiencia: 24.641280%
18,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.130171 numprocesos: 6 tpar: 0.104781 seepUp: 1.242315 eficiencia: 20.705249%
19,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.154440 numprocesos: 6 tpar: 0.104711 seepUp: 1.474917 eficiencia: 24.581945%
20,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.131742 numprocesos: 6 tpar: 0.104967 seepUp: 1.255080 eficiencia: 20.918003%
21,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.142106 numprocesos: 6 tpar: 0.103573 seepUp: 1.372037 eficiencia: 22.867285%
22,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.152826 numprocesos: 6 tpar: 0.103210 seepUp: 1.480729 eficiencia: 24.678810%
23,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.144769 numprocesos: 6 tpar: 0.107404 seepUp: 1.347892 eficiencia: 22.464868%
24,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.154769 numprocesos: 6 tpar: 0.101921 seepUp: 1.518519 eficiencia: 25.308654%
25,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.144105 numprocesos: 6 tpar: 0.105279 seepUp: 1.368791 eficiencia: 22.813192%
26,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.129593 numprocesos: 6 tpar: 0.101593 seepUp: 1.275610 eficiencia: 21.260159%
27,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.149621 numprocesos: 6 tpar: 0.104546 seepUp: 1.431150 eficiencia: 23.852499%
28,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.129527 numprocesos: 6 tpar: 0.101694 seepUp: 1.273694 eficiencia: 21.228227%
29,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.154403 numprocesos: 6 tpar: 0.104790 seepUp: 1.473452 eficiencia: 24.557528%
30,10000,6,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.129873 numprocesos: 6 tpar: 0.102186 seepUp: 1.270947 eficiencia: 21.182452%
1,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.153179 numprocesos: 8 tpar: 0.078687 seepUp: 1.946688 eficiencia: 24.333594%
2,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.154106 numprocesos: 8 tpar: 0.084022 seepUp: 1.834115 eficiencia: 22.926436%
3,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.144152 numprocesos: 8 tpar: 0.082301 seepUp: 1.751522 eficiencia: 21.894023%
4,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.153464 numprocesos: 8 tpar: 0.086916 seepUp: 1.765659 eficiencia: 22.070735%
5,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.155927 numprocesos: 8 tpar: 0.080110 seepUp: 1.946411 eficiencia: 24.330140%
6,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.129848 numprocesos: 8 tpar: 0.081207 seepUp: 1.598975 eficiencia: 19.987193%
7,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.143938 numprocesos: 8 tpar: 0.079550 seepUp: 1.809403 eficiencia: 22.617536%
8,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.145036 numprocesos: 8 tpar: 0.081157 seepUp: 1.787104 eficiencia: 22.338800%
9,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.129833 numprocesos: 8 tpar: 0.079751 seepUp: 1.627980 eficiencia: 20.349745%
10,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.155244 numprocesos: 8 tpar: 0.079895 seepUp: 1.943100 eficiencia: 24.288754%
11,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.150593 numprocesos: 8 tpar: 0.081134 seepUp: 1.856102 eficiencia: 23.201278%
12,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.153352 numprocesos: 8 tpar: 0.079060 seepUp: 1.939691 eficiencia: 24.246142%
13,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.149015 numprocesos: 8 tpar: 0.081003 seepUp: 1.839623 eficiencia: 22.995290%
14,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.153639 numprocesos: 8 tpar: 0.079660 seepUp: 1.928684 eficiencia: 24.108555%
15,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.147819 numprocesos: 8 tpar: 0.081712 seepUp: 1.809024 eficiencia: 22.612805%
16,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.129649 numprocesos: 8 tpar: 0.081425 seepUp: 1.592251 eficiencia: 19.903132%
17,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.154073 numprocesos: 8 tpar: 0.080998 seepUp: 1.902183 eficiencia: 23.777285%
18,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.157263 numprocesos: 8 tpar: 0.078755 seepUp: 1.996864 eficiencia: 24.960796%
19,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.129925 numprocesos: 8 tpar: 0.080357 seepUp: 1.616847 eficiencia: 20.210591%
20,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.145422 numprocesos: 8 tpar: 0.081998 seepUp: 1.773482 eficiencia: 22.168529%
21,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.129599 numprocesos: 8 tpar: 0.080474 seepUp: 1.610446 eficiencia: 20.130570%
22,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.129505 numprocesos: 8 tpar: 0.080764 seepUp: 1.603499 eficiencia: 20.043739%
23,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.145974 numprocesos: 8 tpar: 0.081719 seepUp: 1.786292 eficiencia: 22.328651%
24,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.154650 numprocesos: 8 tpar: 0.079976 seepUp: 1.933705 eficiencia: 24.171314%
25,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.156731 numprocesos: 8 tpar: 0.080387 seepUp: 1.949706 eficiencia: 24.371322%
26,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.154333 numprocesos: 8 tpar: 0.080893 seepUp: 1.907866 eficiencia: 23.848324%
